108663,Lorenzo Insigne,Male,162.56,64,https://healthyceleb.com/lorenzo-insigne-height-weight-age-body-statistics/108663
108828,Javier Matías Pastore,Male,186.69,78,https://healthyceleb.com/javier-pastore-height-weight-age-body-statistics/108828
108874,Dazet Wilfried Armel Zaha,Male,180.34,66,https://healthyceleb.com/wilfried-zaha-height-weight-age-body-statistics/108874
108766,Lance Stephenson Jr.,Male,198.12,104,https://healthyceleb.com/lance-stephenson-height-weight-age-body-statistics/108766
108935,Roberto Maximiliano Pereyra,Male,182.25,75,https://healthyceleb.com/roberto-pereyra-height-weight-age-body-statistics/108935
110251,Axel Laurent Angel Lambert Witsel,Male,186.06,80,https://healthyceleb.com/axel-witsel-height-weight-age-body-statistics/110251
110218,Diego Sebastián Schwartzman,Male,170.18,65,https://healthyceleb.com/diego-schwartzman-height-weight-age-body-statistics/110218
110359,Piotr Sebastian Zieliński,Male,177.80,68,https://healthyceleb.com/piotr-zielinski-height-weight-age-body-statistics/110359
109994,Cody Ray Allen Garbrandt,Male,172.09,61,https://healthyceleb.com/cody-garbrandt-height-weight-age-body-statistics/109994
109751,Dominick Rojelio Cruz,Male,172.72,61,https://healthyceleb.com/dominick-cruz-height-weight-age-body-statistics/109751
109562,Jerome Max Keliʻi Holloway,Male,180.34,66,https://healthyceleb.com/max-holloway-height-weight-age-body-statistics/109562
110265,Aleksandar Mitrović,Male,187.96,87,https://healthyceleb.com/aleksandar-mitrovic-footballer-height-weight-age-body-statistics/110265
110274,Konstantinos Manolas,Male,189.23,85,https://healthyceleb.com/kostas-manolas-height-weight-age-body-statistics/110274
110376,Jean Michaël Seri,Male,167.64,65,https://healthyceleb.com/jean-michael-seri-height-weight-age-body-statistics/110376
107946,Pedro Eliezer Rodríguez Ledesma,Male,168.91,66,https://healthyceleb.com/pedro-footballer-b-1987-height-weight-age-body-statistics/107946
101080,Aleksandar Kolarov,Male,186.69,80,https://healthyceleb.com/aleksandar-kolarov-height-weight-age-body-statistics/101080
101982,Hardik Himanshu Pandya,Male,182.88,70,https://healthyceleb.com/hardik-pandya-height-weight-age-body-statistics/101982
102965,Andre Jamal Drummond,Male,208.28,127,https://healthyceleb.com/andre-drummond-height-weight-age-body-statistics/102965
103007,Deontay Leshun Wilder,Male,200.03,103,https://healthyceleb.com/deontay-wilder-height-weight-age-body-statistics/103007
105371,Peter James Crouch,Male,201.93,75,https://healthyceleb.com/peter-crouch-height-weight-age-body-statistics/105371
104812,Daniel James Amendola,Male,180.34,77,https://healthyceleb.com/danny-amendola-height-weight-age-body-statistics/104812
106185,Benjamin Mendy,Male,182.88,85,https://healthyceleb.com/benjamin-mendy-height-weight-age-body-statistics/106185
106321,Jorge Luiz Frello Filho,Male,180.34,71,https://healthyceleb.com/jorginho-footballer-born-1991-height-weight-age-body-statistics/106321
106307,Richarlison de Andrade,Male,179.07,71,https://healthyceleb.com/richarlison-height-weight-age-body-statistics/106307
106274,Bernardo Mota Veiga de Carvalho e Silva,Male,172.72,64,https://healthyceleb.com/bernardo-silva-height-weight-age-body-statistics/106274
105998,Jason Belmonte,Male,177.80,74,https://healthyceleb.com/jason-belmonte-height-weight-age-body-statistics/105998
