id,name,gender,height,weight,url
88655,Daria Berenato,Female,170.18,59,https://healthyceleb.com/sonya-deville-height-weight-age-body-statistics/88655
88786,Tenille Averil Dashwood,Female,165.1,60,https://healthyceleb.com/tenille-dashwood-height-weight-age-body-statistics/88786
89132,Cassie McIntosh,Female,170.18,60,https://healthyceleb.com/peyton-royce-height-weight-age-body-statistics/89132
62174,Simone Arianne Biles,Female,142.24,46,https://healthyceleb.com/simone-biles-height-weight-body-statistics/62174
62474,Nancy Ann Kerrigan,Female,162.56,55,https://healthyceleb.com/nancy-kerrigan-height-weight-body-statistics/62474
64625,Hope Amelia Solo,Female,175.26,68,https://healthyceleb.com/hope-solo-height-weight-body-statistics/64625
62233,Shawn Machel East,Female,149.86,45,https://healthyceleb.com/shawn-johnson-height-weight-body-statistics/62233
66314,Anna Sergeyevna Kournikova,Female,172.72,61,https://healthyceleb.com/anna-kournikova-height-weight-body-statistics/66314
66532,Analeigh Christian Tipton,Female,176.53,58,https://healthyceleb.com/analeigh-tipton-height-weight-body-statistics/66532
89028,Kathleen Genevieve Ledecky,Female,182.88,70,https://healthyceleb.com/katie-ledecky-height-weight-age-body-statistics/89028
68200,Laila Amaria Ali,Female,177.8,70,https://healthyceleb.com/laila-ali-height-weight-body-statistics/68200
68655,Anastasia Valeryevna Liukin,Female,160.02,52,https://healthyceleb.com/nastia-liukin-height-weight-body-statistics/68655
69208,Paige Michelle VanZant,Female,162.56,52,https://healthyceleb.com/paige-vanzant-height-weight-body-statistics/69208
72105,Jessica Fox,Female,165.74,60,https://healthyceleb.com/canoeist-jessica-fox-height-weight-body-statistics/72105
73315,McKayla Rose Maroney,Female,160.02,53,https://healthyceleb.com/mckayla-maroney-height-weight-body-statistics/73315
73569,Sydney Rae Leroux,Female,170.18,66,https://healthyceleb.com/sydney-leroux-height-weight-body-statistics/73569
73719,Stephanie Nicole Garcia-Colace,Female,167.64,55,https://healthyceleb.com/nikki-bella-height-weight-body-statistics/73719
78132,Ariana Alyse Berlin,Female,157.48,53,https://healthyceleb.com/ariana-berlin-height-weight-age-body-statistics/78132
80587,Paula Caroline Creamer,Female,175.26,60,https://healthyceleb.com/paula-creamer-height-weight-age-body-statistics/80587
83328,Mikaela Pauline Shiffrin,Female,170.18,64,https://healthyceleb.com/mikaela-shiffrin-height-weight-age-body-statistics/83328
83277,Alexa Paige Scimeca,Female,157.48,45,https://healthyceleb.com/alexa-scimeca-knierim-height-weight-age-body-statistics/83277
83342,Aja Evans,Female,177.8,68,https://healthyceleb.com/aja-evans-bobsledder-height-weight-age-body-statistics/83342
61080,Maria Louise Kanellis,Female,170.18,55,https://healthyceleb.com/maria-kanellis-height-weight-body-statistics/61080
51838,Tímea Babos,Female,179.07,71,https://healthyceleb.com/timea-babos-height-weight-body-statistics/51838
50801,Victória Fyódorovna Azárenka,Female,182.88,70,https://healthyceleb.com/victoria-azarenka-height-weight-body-statistics/50801
51864,Yaroslava Vyacheslavovna Shvedova,Female,180.34,70,https://healthyceleb.com/yaroslava-shvedova-height-weight-body-statistics/51864
53359,Carli Anne Lloyd,Female,172.72,64,https://healthyceleb.com/carli-lloyd-height-weight-body-statistics/53359
53733,Johanna Konta,Female,180.34,70,https://healthyceleb.com/johanna-konta-height-weight-body-statistics/53733
54098,Angelique Kerber,Female,172.72,73,https://healthyceleb.com/angelique-kerber-height-weight-body-statistics/54098
54086,Maja Ognjenović,Female,182.88,67,https://healthyceleb.com/maja-ognjenovic-height-weight-body-statistics/54086
54351,Caroline Wozniacki,Female,177.17,63,https://healthyceleb.com/caroline-wozniacki-height-weight-body-statistics/54351
54572,Milena Rašić,Female,191.14,72,https://healthyceleb.com/milena-rasic-height-weight-body-statistics/54572
54736,Kristýna Plíšková,Female,184.15,73,https://healthyceleb.com/kristyna-pliskova-height-weight-body-statistics/54736
